"","pos","neg","year","qrt","econapp","fpapp","approve","gulf","trans","bizexp","bizretr","rass","lewin","favor","qrtunem","annumem","qrtinfl","annuminfl","bushjr","clinton","bushsr","reagan","carter","t","tt"
"21",0,0,1982,2,38.2200012207031,43.0699996948242,44.5,0,0,61,30,0,0,55.6360015869141,9.43000030517578,9.69999980926514,6.80000019073486,6.13000011444092,0,0,0,1,0,100,21
"22",0,0,1982,3,37.8899993896484,41.689998626709,41.6699981689453,0,0,64,30,0,0,53.0190010070801,9.89999961853027,9.69999980926514,5.80000019073486,6.13000011444092,0,0,0,1,0,100,22
"23",0,0,1982,4,40.7400016784668,44.7999992370605,42,0,0,77,36,0,0,50.8269996643066,10.6999998092651,9.69999980926514,4.5,6.13000011444092,0,0,0,1,0,100,23
"24",0,0,1983,1,37.9700012207031,39.060001373291,39.3300018310547,0,0,92,63,0,0,50.939998626709,10.3999996185303,9.60000038146973,3.59999990463257,3.21000003814697,0,0,0,1,0,100,24
"25",0,0,1983,2,40.4599990844727,34.9900016784668,43.8300018310547,0,0,131,128,0,0,52.3919982910156,10.1000003814697,9.60000038146973,3.29999995231628,3.21000003814697,0,0,0,1,0,100,25
"26",1,0,1983,3,40.8300018310547,35.0800018310547,44.1699981689453,0,0,130,137,0,0,52.8380012512207,9.39999961853027,9.60000038146973,2.70000004768372,3.21000003814697,0,0,0,1,0,100,26
"27",1,0,1983,4,49.6399993896484,46.2900009155273,50.6699981689453,0,0,131,143,0,0,57.4770011901855,8.5,9.60000038146973,3.29999995231628,3.21000003814697,0,0,0,1,0,100,27
"28",0,1,1984,1,51.1699981689453,39.5400009155273,54.1699981689453,0,0,146,152,0,0,57.7389984130859,7.90000009536743,7.5,4.5,4.32000017166138,0,0,0,1,0,100,28
"29",0,1,1984,2,50.7900009155273,40.1300010681152,53.8300018310547,0,0,133,148,0,0,59.8489990234375,7.5,7.5,4.30000019073486,4.32000017166138,0,0,0,1,0,100,29
"30",0,0,1984,3,50.6199989318848,42.689998626709,54.3300018310547,0,0,137,148,0,0,60.7949981689453,7.40000009536743,7.5,4.30000019073486,4.32000017166138,0,0,0,1,0,100,30
"31",0,0,1984,4,55.0999984741211,46.7000007629395,59.5,0,0,132,140,0,0,64.2990036010742,7.30000019073486,7.5,4.09999990463257,4.32000017166138,0,0,0,1,0,100,31
"32",0,1,1985,1,52.4000015258789,49.2299995422363,59.6699981689453,0,0,133,132,0,0,65.0579986572266,7.30000019073486,7.19999980926514,3.59999990463257,3.55999994277954,0,0,0,1,0,100,32
"33",0,1,1985,2,51.1199989318848,44.560001373291,55,0,0,127,123,0,0,58.5589981079102,7.30000019073486,7.19999980926514,3.79999995231628,3.55999994277954,0,0,0,1,0,100,33
"34",2,0,1985,3,52.7900009155273,50.4599990844727,61.3300018310547,0,0,124,122,0,0,61.8569984436035,7.19999980926514,7.19999980926514,3.29999995231628,3.55999994277954,0,0,0,1,0,100,34
"35",0,0,1985,4,49.5200004577637,54.4300003051758,63.1699981689453,0,0,119,116,0,0,63.8289985656738,7,7.19999980926514,3.5,3.55999994277954,0,0,0,1,0,100,35
"36",1,0,1986,1,52.2700004577637,51.5,63.5,0,0,129,121,0,0,64.8560028076172,7,7,3.09999990463257,1.86000001430511,0,0,0,1,0,100,36
"37",2,0,1986,2,52.7200012207031,56.3300018310547,64.1699981689453,0,0,133,128,0,0,64.7320022583008,7.19999980926514,7,1.60000002384186,1.86000001430511,0,0,0,1,0,100,37
"38",0,0,1986,3,50.2000007629395,50.3600006103516,61.6699981689453,0,0,123,113,0,0,61.6860008239746,7,7,1.70000004768372,1.86000001430511,0,0,0,1,0,100,38
"39",0,2,1986,4,50.1199989318848,41.4300003051758,55,0,0,116,105,0,0,58.7859992980957,6.80000019073486,7,1.29999995231628,1.86000001430511,0,0,0,1,0,100,39
"40",0,2,1987,1,47.8199996948242,31.7199993133545,45.5,0,0,118,106,0,0,54.5970001220703,6.59999990463257,6.19999980926514,2.20000004768372,3.65000009536743,0,0,0,1,0,100,40
"41",2,2,1987,2,46,34.75,49,0,0,114,108,0,0,53.875,6.30000019073486,6.19999980926514,3.79999995231628,3.65000009536743,0,0,0,1,0,100,41
"42",0,1,1987,3,47.6199989318848,37.7299995422363,48.3300018310547,0,0,122,119,0,0,51.5480003356934,6,6.19999980926514,4.19999980926514,3.65000009536743,0,0,0,1,0,100,42
"43",1,2,1987,4,38.939998626709,38.8400001525879,50,0,0,99,96,0,0,51.1710014343262,5.90000009536743,6.19999980926514,4.5,3.65000009536743,0,0,0,1,0,100,43
"44",0,1,1988,1,41.5900001525879,39.939998626709,49.75,0,0,111,99,0,0,50.726001739502,5.69999980926514,5.5,3.90000009536743,4.1399998664856,0,0,0,1,0,100,44
"45",2,1,1988,2,41.8499984741211,45.9700012207031,49.5,0,0,121,113,0,0,47.7970008850098,5.5,5.5,3.90000009536743,4.1399998664856,0,0,0,1,0,100,45
"46",0,0,1988,3,43.7400016784668,54.3699989318848,53.1699981689453,0,0,119,118,0,0,53.3540000915527,5.5,5.5,4.09999990463257,4.1399998664856,0,0,0,1,0,100,46
"47",0,0,1988,4,48.3600006103516,58.5999984741211,57,0,0,123,120,0,0,57.818000793457,5.30000019073486,5.5,4.30000019073486,4.1399998664856,0,0,0,1,0,100,47
"48",0,1,1989,1,53.1599998474121,63.060001373291,58.1699981689453,0,0,126,122,0,0,67.6029968261719,5.19999980926514,5.30000019073486,4.80000019073486,4.82000017166138,0,0,1,0,0,100,48
